"Title","Type","Description"
"Spielberg","Dokument","Steven Spielberg to chodząca legenda. Wyreżyserowane przez niego ""Szczęki"", ""Bliskie spotkania trzeciego stopnia"", ""Szeregowiec Ryan"" czy ""Lista Schindlera"" na zawsze przeszły do historii kinematografii. Twórcy dokumentu postanawiają spotkać się z artystą, by porozmawiać z nim nie tylko o jego karierze i osiągnięciach filmowych, ale również o życiu prywatnym. Spielberg opowiada przed kamerą o swoim słodko-gorzkim dzieciństwie, przyjaźniach i inspiracjach oraz podejściu do rzeczywistości."
"Jiro śni o sushi","Dokument","Film dokumentalny opowiadający o 85 letnim Jiro Ono, który pracuje jako mistrz kuchni sushi w piwnicy jednego z biur w Tokio. W obrazie przedstawione są także relacje z jego synem Yoshikazu, który jest prawdopodobnym następcą rodzinnego fachu."
"Ciemna strona Słońca","Dokument","Naukowcy i inżynierowie odpowiedzialni za wysłanie w przestrzeń kosmiczną największego teleskopu budują sondę mającą pomóc przewidywać burze słoneczne i dać nam czas do przygotowanie się na nie."
"Wojna Gwiazd","Dokument","Historia powstania polskiego fandomu Gwiezdnych Wojen w czasach istnienia ""żelaznej kurtyny""."
"Jim i Andy","Dokument","W 1999 r. Jim Carrey wcielił się w rolę swojego idola, Andy’ego Kaufmana, w filmie Człowiek z księżyca. Nagrania zza kulis powstawania tej produkcji zostały ujawnione dopiero teraz, niemal dwadzieścia lat po jej premierze."
"Lekarze","Dokument","Co się dzieje za zamkniętymi drzwiami sal operacyjnych, gabinetów zabiegowych i pokoi, w których odbywają się specjalistyczne konsultacje medyczne? Na oddziale chirurgicznym popatrujemy codzienną pracę lekarzy: panującą między nimi hierarchię, konieczność podejmowania ważnych decyzji, borykanie się z ekonomicznymi problemami. Choć zwykle posługują się niezrozumiałym dla zwykłego śmiertelnika językiem, jest też miejsce na drobne żarciki czy środowiskowe anegdoty. W ich pracy, pomimo zdobytej wiedzy i doświadczenia, również zdarzają się momenty zaskakujące..."
"Bob Lazar: Strefa 51 i latające spodki","Dokument","Przed laty Bob Lazar ujawnił szokujące informacje na temat Strefy 51. Teraz znów opowiada o technologii rodem z kosmosu oraz walce z władzami, które próbują go uciszyć."
"79TH. TownTour 2012","Dokument","Choć w Budapeszcie są doskonałe deskorolkowe spoty, to filmów pokazujących tamtejszą scenę i miejscówki niestety nie ma, ponieważ policja i ochrona ostro walczy ze skejtami. Czy ekipa skejtów z Polski wygrała bój z węgierską policją? Czy udało jej się nagrać konkretne triki?"
"Noc Bożego Narodzenia","Fantasy","""Opowieść wigilijna"" Charles'a Dickensa osadzona na dzikim zachodzie. Fabuła kręci się wokół Scrooge'a, który jest baronem ziemi, mistrzem pojedynków na rewolwery oraz oszustem, którego nawiedzają trzy duchy, chcące nauczyć go prawdziwego znaczenia święta Bożego Narodzenia."
"Alvin and the Chipmunks Meet the Wolfman","Fantasy","Alvin często śni i marzy o tym, by poznać wilkołaka. Dave i Simon uznają, że zbyt często ogląda on horrory. Tymczasem w szkole, organizowane jest przedstawianie pt. ""Dr. Jeckyll i Mr. Hyde"", gdzie główną rolę ma zagrać właśnie Alvin. Niestety - niesforny Alvin miesza nieznane mu chemikalia przez co następuje wielka eksplozja. Olbrzymia ilość substancji zostaje wylana na większą cześć widowni. Alvin zostaje wycofany, a jego rolę ma zagrać Theodore."
"I Dream of Jeannie","Fantasy","Amerykański astronauta uważa, że jego życie jest bardzo skomplikowane, do momentu kiedy znajduje butelkę zawierającą kobietę-dżina."
"Babe - Świnka w mieście","Fantasy","Sprytna i wyjątkowo gadatliwa świnka Babe powraca na ekran w drugiej części swych przygód wyruszając wraz panią Hogett i kaczorem Ferdym do miasta na doroczną wystawę, by ratować gospodarzy swej rodzimej farmy przed bankructwem. Sprawy przyjmują nienajlepszy obrót bowiem Babe zostaje porwana, a pani Hogett trafia do aresztu. Na szczęście dzielna świnka szybko uczy się jak dawać sobie radę w miejskiej dżungli."
"Książę Czaruś","Fantasy","Trzy piękne bohaterki Królewna Śnieżka, Śpiąca królewna oraz Kopciuszek odkrywają, że są zaręczone z tym samym Księciem z Bajki. Pod czarem przebiegłej królowej, książę wraz z towarzyszącą Lenore wyrusza w podróż, na końcu której odkryje swoją prawdziwą miłość."
"Opowieści z ciemnej strony","Fantasy","Pewien chłopiec zostaje złapany przez panią domu, która chce przyrządzić z niego kolację dla swoich gości. By odwlec ten straszny moment chłopczyk czyta jej przerażające historie. O biednym studencie, który mści się za pomocą egipskiej mumii. Piekielnym kocie i polującym na niego zabójcy, oraz artyście mającym mroczny sekret, którego wyjawienie grozi śmiercią."
"Tajemnica zaginionej skarbonki","Fantasy","Jest to 30-minutowa animacja stworzona specjalnie dla małych dzieci, by nauczyć je, jak bardzo szkodzą narkotyki. Bohater filmu to nastoletni Michael, który za radą swoich „przyjaciół” zaczął palić marihuanę. Kiedy zabrakło mu pieniędzy na kupienie narkotyku, ukradł swojej młodszej siostrze Corey skarbonkę i zabrał z niej pieniądze. Dziewczynkę niepokoiło dziwne zachowanie brata, do czasu gdy odkryła jego nałóg. Corey razem z bohaterami kreskówek, m.in. z Garfieldem, kosmitą Alfem, Alvinem i wiewiórkami, Smerfami, Muppetami i królikiem Bugsem, starają się pomóc Michaelowi."
"Zdjęcia Ginger 3: Początek","Fantasy","Prequal do wcześniejszych dwóch części. W 1815 roku Ginger i Brigitte przybywają do Kanady. Po kilku dniach tułaczki natykają się na Indian, a jeden z nich pomaga im dotrzeć po pobliskiego fortu. Wkrótce placówka zaczyna być atakowana przez wilkołaki, które po śmierci wracają do ludzkiej formy. Po jednym z ataków Brigitte zostaje przez nie zraniona i zaczyna się zmieniać."
"Ucieczka na Górę Czarownic","Fantasy","Rodzeństwo Tia i Tony przejawia niezwykłe telepatyczne i telekinetyczne zdolności, dzięki którym ratują życie Lucasowi Deranianowi. Ten widząc co potrafią sprowadza dzieci do rezydencji swojego szefa, by wykorzystać ich talenty do zarabiania pieniędzy. Tia i Tony przeczuwają jednak zamiary biznesmena i uciekają, by odnaleźć miejsce z tajemniczej mapy."
"Haibane Renmei (Stowarzyszenie Szaropiórych)","Fantasy","Gdzieś, nie wiadomo gdzie, istnieje miasteczko zwane Gile. Senne, urocze, ciche i odosobnione. Jednocześnie zwykłe i niezwykłe. Otoczone potężnym murem, odgradza swoich mieszkańców od reszty świata. Mury miasta przekraczają tylko wszędobylskie kruki oraz tajemnicza, zakapturzona grupa ludzi, zwana – Toga. Właściwie za murami ukryte jest nie tylko same miasteczko, ale cały wielki obszar pełen zieleni i nieprzebytych lasów, a wraz z nim pewien wiekowy kompleks budynków ze starą wieżą zegarową, zwany po prostu „starym domem”. W tym to właśnie domu, raz na kilka lat, zdarza się cud. Cud narodzin. W którymś z opuszczonych pokoi pojawia się kokon, z którego przychodzi na świat nowa Haibane. Haibane z pozoru wyglądają jak zwykli ludzie. I wiedzą, że kiedyś byli ludźmi. Jednak już pierwszego dnia po narodzinach, na ich plecach pojawiają się dwie pulsujące rany, które w ciągu kilku godzin zostają przebite przez skrzydła; wielu z nas nazwałoby je zapewne - „anielskimi”. Dnia drugiego, gdy gorączka mija, nad głową nowego Haibane umieszczana jest aureola."
"The White Stripes: Pod zorzą polarną","Dokument","Film ten jest zapisem trasy koncertowej The White Stripes, która odbyła się w 2007 roku z okazji dziesięciolecia istnienia zespołu. Wraz Jackiem White’em i Meg White wyruszamy w podróż po Kanadzie, obserwujemy muzyków podczas wspólnego koncertowania z Inuitami czy w trakcie występów w kręgielni. Najważniejsza w tym filmie jest muzyka, grana na żywo, podglądana zza kulis. Fenomen duetu The White Stripes, kultowej już grupy, która wyróżnia się oryginalnym brzmieniem, będącym mieszanką folku, bluesa i rocka, tworzonym jedynie za pomocą perkusji i gitary, w pewnym sensie wypływa z relacji między członkami zespołu i z ich biegunowo odmiennych osobowości. Kamera dokumentuje ów twórczo-intymny związek. Tak więc, mimo iż obraz w dużej części jest długim (i udanym) teledyskiem, ważnym jego aspektem jest właśnie interakcja, jaka zachodzi między Jackiem i Meg podczas występów. Ich wypowiedzi czy ujęcia, które ""łapią"" muzyków w chwilach prywatności, choć dawkowane rzadko, stanowią kontrapunkt dla kanadyjskiej odysei. Dzięki temu jest możliwe, że film ten stanie się klasykiem gatunku, podobnie jak Gimme Shelter relacjonujący trasę koncertową Stonesów czy ""Don’t Look Back"" (1967) o Dylanie."
"Sioux Ghost Dance","Dokument","Taniec duchów wykonany przez Indian z grupy widowiskowej Buffalo Billa."
"Niewygodna prawda 2","Dokument","Druga część obsypanego nagrodami filmu Niewygodna prawda (trzeci najbardziej dochodowy film dokumentalny w historii). Rzecz dotyczy zmian klimatycznych, ze szczególnym uwzględnieniem globalnego ocieplenia. Sequel pokazuje dalsze działania Ala Gore’a, byłego wiceprezydenta USA, na rzecz stworzenia lepszych warunków do życia na Ziemi."
"Najświętsza Panienka, koptowie i ja","Dokument","Namir jest młodym Francuzem o egipskich korzeniach, który chce zrobić film o objawieniach maryjnych wśród egipskich Koptów. Jednak gdy przyjeżdża do ojczyzny przodków, sytuacja wymyka mu się spod kontroli. Wtedy wpada na niezwykły pomysł: postanawia pokazać cud na ekranie. Któregoś dnia podczas rodzinnego spotkania młody filmowiec Namir Abdel Messeeh ogląda wideokasetę z zarejestrowanym objawieniem maryjnym w egipskim Asjut. W przeciwieństwie do matki, która twierdzi, że widzi na ekranie Matkę Boską, chłopak pozostaje sceptyczny, jednak sam temat bardzo go intryguje. Wyrusza do rodzinnego kraju, by nakręcić dokument o fenomenie objawień, niezwykle ważnym dla tamtejszej mniejszości koptyjskiej. Będzie to doskonała okazja, by po piętnastu latach spotkać się ze swoją egipską rodziną, choć matka stanowczo nalega, by nie filmował nikogo z jej bliskich. Na miejscu sprawy komplikują się tak bardzo, że Namir będzie musiał zmienić swoje plany. Zwraca więc kamerę na siebie i swoich krewnych. W ubogiej wiosce zamieszkałej przez muzułmanów i chrześcijan znajduje prawdziwą inspirację dla swego filmu, który wychodząc od etnograficznej obserwacji, staje się bardzo osobistą podróżą, konfrontacją z własną tożsamością, a także ryzykowną próbą sił dla początkującego reżysera i jego relacji z dominującą matką."
"Tańczące marzenia","Dokument","Tanzträume pozwala na chwilę przenieść się w twórczy świat Piny Bausch. Film dokumentuje pracę nad sztuką ""Kontakthof"", w której (w charakterystyczny dla autorki sposób) pragnienie miłości i bliskości wyrażane jest poprzez ruch i kontakt z partnerem. Tym razem w poszczególne role wcielają się nie zawodowi tancerze, a nastolatki w wieku od czternastu do osiemnastu lat. Udział w projekcie to dla nich zaszczyt i nie lada wyzwanie. Jak sami przyznają – jeszcze nigdy nie przeżyli tego, co teraz odgrywają na scenie. Widzimy, jak stopniowo przełamują nieśmiałość, uczą się dotyku, otwierają się. Kolejne próby dodają im siły i pewności siebie. Tanzträume w subtelny sposób ukazuje, jak praca pod czujnym okiem Piny i jej współpracowniczek nie tylko rozwija ich taneczne umiejętności, ale przede wszystkim kształtuje ich wrażliwość i zmienia ich jako ludzi."
"Schody","Dokument","Pewnej grudniowej nocy 2001 roku Michael Peterson znajduje ciało żony w kałuży krwi u stóp schodów swego domu. Wkrótce zostaje oskarżony o morderstwo."
"Taqwacore: Narodziny islamskiego punka","Dokument","Kronika rodzącego się ruchu muzułmańskiego punk rocka w Ameryce. Twórców dokumentu zainspirowała działalność Michaela Knighta, który w ramach buntu przeciw poglądom ojca, zwolennika teorii o supremacji białych, przeszedł na islam. Michael Muhammad Knight napisał powieść ""The Taqwacores"" (neologizm będący połączeniem określenia muzułmańskiej koncepcji świadomości Boga z punkowym słowem hardcore), która stała się manifestem rozczarowanej młodzieży muzułmańskiej. Pisarz towarzyszy młodym wywrotowcom podczas ich tournee, w którym zaskakują i szokują widzów w Stanach Zjednoczonych. Po drodze łamią wszystkie możliwe tabu i nieskrępowanie demonstrują swój sprzeciw wobec doktrynerstwa."
"Glastonbury","Dokument","Dokument ten przedstawia nadzwyczajnie różnorodną muzykę oraz jak się zmieniała przez ostatnie 30 lat. Wszystko to dzieje się na najsłynniejszym corocznym festiwalu muzycznym w Anglii - Glastonbury."
"Oni szli Szarymi Szeregami","Dokument","Dokument o konspiracyjnej działalności Związku Harcerstwa Polskiego, w okresie II wojny światowej pod kryptonimem Szare Szeregi."
"Countdown to Zero","Dokument","W czasie zimnej wojny każdy miał świadomość realnego zagrożenia atakiem atomowym. Po jej zakończeniu uznano, że ryzyko wojny nuklearnej znacznie spadło. Niniejszy dokument udowadnia, że było wręcz odwrotnie. Odbywając podróż po całej planecie przekonamy się jak wiele jest czynników, miejsc, krajów, organizacji z powodu których może dość do użycia najpotężniejszej z bomb. Wnioski, które nasuwają się z rozmów z światowymi przywódcami prowadzą do jednej konkluzji: by uniknąć zagrożenia atomowego muszą zostać zniszczone wszystkie arsenały atomowe. Odliczanie do zera czas zacząć, mówią autorzy filmu."
"Air","Fantasy","Kunisaki Yukito jest wędrowcem, który poszukuje „dziewczyny w niebie”, o której usłyszał w legendzie przekazywanej w jego rodzinie od pokoleń. Podczas swojej podróży trafia do małego nadmorskiego miasteczka, gdzie spotyka dziewczynkę Misuzu, która che zostać jego przyjacielem. Historia obejmująca swoim zasięgiem tysiąc lat zaczyna rozstrzygać się na tle ich wzajemnych relacji."
"Wizards","Fantasy","Po kolejnej wojnie atomowej rasa ludzka wyginęła. Na ziemi pozostały tylko różnego typu mutanty. Pewnego dnia wróżka rządząca tym światem, rodzi dwóch synów. W niedługim czasie po tym umiera, a jej synowie walczą ze sobą o władze. Pierwsze starcie wygrywa dobry syn, ale pobity zły oświadcza, że kiedyś wróci i się zemści. Wiele lat później rosnący w siłę, dzięki złej magii i ludzkiej broni zły brat, wraca by się zemścić."
"Yu-Gi-Oh! Ostateczne starcie","Fantasy","Animowany film pełnometrażowy oparty na popularnych grach i serialu telewizyjnym. Kiedy główni bohaterowie - Yugi i Kaiba rozpoczynają kolejne starcie, wyimaginowany potwór z gry staje się rzeczywistością. Kto wygra tę ostateczną walkę?"
"Dr. Strange","Fantasy","Po pięciuset latach niewoli w piekle Morgan LeFay, wraca na Ziemię by utorować drogę do naszego wymiaru, swoim okrutnym władcom. Na jej drodze stoi jedynie Thomas Lindner, potężny czarnoksiężnik stojący po stronie dobra. Ale Thomas jest już stary i jego moc słabnie, potrzebny jest więc nowy obrońca, którego znajduje w osobie doktora Stephena Strangea."
"Przygody małego Nemo w krainie snów","Fantasy","W tym animowanym filmie fantasy autorstwa Chrisa Columbusa tylko wyobraźnia stanowi granicę tego, co może się zdarzyć. Młody Nemo jest uprzejmie zaproszony do Królestwa Marzeń Sennych przez samego króla tej krainy, gdzie zostaje ogłoszony następcą tronu i otrzymuje magiczny klucz zdolny otworzyć każde drzwi w królestwie. Choć Nemo otrzymał ostrzeżenie, by nie otwierać drzwi, za którymi stoi moc niszczycielska, mogąca zagrozić Sennej Krainie, pokusa bierze górę i król zostaje uprowadzony, gdy czarna chmura nocnych koszmarów przykrywa do tej pory idylliczną krainę snów. Teraz Nero musi naprawić swój błąd i sprowadzić króla z powrotem żywego. Zwołuje w tym celu swoich przyjaciół i udaje się w głąb Lądu Nocnych Koszmarów, aby stawić czoła obezwładniającemu go strachowi. Czy marzenia senne wrócą kiedykolwiek do Sennej Krainy, czy może nierozważny czyn Nemo uruchomił nieodwracalny, odwieczny mechanizm zagłady i chaosu?"
"Cudowne dziecko","Fantasy","Piotr jest z pozoru zwykłym nastolatkiem. Jednak pewnego dnia, pod wpływem występów magika w cyrku, chłopak odkrywa, że ma zdolności psychokinetyczne. Początkowo przynosi mu to więcej kłopotów, niż korzyści. Dopiero przypadkowo poznany kolega, Aleksander, pomaga mu zapanować nad posiadanym darem."
"Zoom: Akademia superbohaterów","Fantasy","Gdy światu grozi zagłada na ratunek wzywani są super bohaterowie. Problem w tym, że nie ma ich wielu. Jednym z nich jest Jack Shepard znany jako Kapitan Zoom (Tim Allen). Niestety, utracił wszystkie swoje moce. Generał Larraby (Rip Torn) i Dr Grant (Chevy Chase) muszą nakłonić go do podjęcia jeszcze jednej misji: wyszkolenia grupy dzieciaków posiadających niezwykłe moce na prawdziwych super bohaterów. Z pomocą Marshy Halloway (Courtney Cox) nauczą się jak pracować w zespole i wykorzystywać swoje moce do walki ze złem, które zagraża światu."
"Karma dla bestii","Fantasy","Na przełomie wieków szalony okultysta Alfred Fischer przyzwał z piekła dom schadzek pełen krwiożerczych demonów. Przybierają one formę pięknych, kuszących kobiet by łatwiej zdobywać swoje ulubione pożywienie - ludzkie ciała. Sto lat później szóstka badaczy zjawisk paranormalnych wkracza do opuszczonej rezydencji Fischera. Szukają dowodu na istnienie duchów, które jakoby nawiedzają domostwo. Szybko znajdują więcej niż szukali i wpadają w sidła seksownych demonic, szaleńca z mrocznym sekretem oraz hordy krwiożerczych zombie."
"Krecik","Fantasy","Serial opowiada o niezwykłych przygodach czarnego krecika. Tytułowy bohater ma wielu przyjaciół, jest bardzo przyjazny i zawsze chętny do pomocy. Nigdy mu się nie nudzi. Jego ulubionym powiedzeniem jest ""Ahoj""."
"Sztuka spadania","Fantasy","Atol. Zapomniana baza wojskowa gdzieś na Pacyfiku. Wysyłani są tam zasłużeni oficerowie, których wojsko nie może się jeszcze pozbyć, a którzy w wyniku wypełnionych misji stracili rozum i kontakt z rzeczywistością. Tam w oddaleniu od cywilizacji, praw i kodeksów pielęgnują swoje dziwactwa. Sierżant Al pielęgnuje miłość do młodych i dzielnych żołnierzy. Doktor Friedrich pielęgnuje swój talent fotograficzny. A stary, psychicznie zagubiony Generał tworzy sztukę. Nie na papierze i nie na płótnie. Inaczej…"
"Nowoczesna dżungla","Dokument","Nowoczesna dżungla jest oczywiście tknięta wpływem globalizacji. Ta tutaj to La Selva Negra w meksykańskim stanie Chiapas, w której cieniu trwa tysiącletnia kultura Zoque. Pani Carmen wiedzie proste życie w harmonii z naturą, gospodarując na ziemi, za którą jej mąż zapłacił życiem. Jej sąsiad – szaman Juan – nie potrafi wyleczyć się z przepukliny i pada ofiarą bezwzględnego marketingu „cudownego” suplementu diety. El producto – teraz obiekt jego pełnych rewerencji magicznych obrzędów – pochłania pieniądze, których Juan domaga się od filmującego go amerykańskiego reżysera. Charles Fairbanks i Saul Kak – młody artysta Zoque – nie ukrywają, że wchodząc z kamerą do tradycyjnego świata Carmen i Juana też są intruzami, choć przecież w ścisłej z nimi współpracy tworzą ich piękny portret. Podobnie intruzami będziemy poniekąd my – widzowie, dla których na całym świecie powstaje tyle filmów podtrzymujących iluzję zamkniętych kultur, tak „po prostu”, bezingerencyjnie dokumentowanych przez filmowców. Ujawniając i problematyzując relacje między dokumentalistą a jego bohaterem i rozsadzając dokumentalne ramy inscenizowaną sekwencją snu Juana, twórcy „Nowoczesnej dżungli” oferują film jednocześnie fascynujący i nie zawsze wygodny w odbiorze, ale właśnie ten dyskomfort rozbitej iluzji wydaje się tu szczególnie cenny i odświeżająco szczery."
"Chodorkowski","Dokument","Kim tak naprawdę jest były szef Jukosu – Michaił Borysowicz Chodorkowski? Idealistycznie myślącym socjalistą, kapitalistą próbującym prowadzić niezależną politykę, a może zwykłym przestępcą? Chodorkowski przedstawia wnikliwy i prawdziwy portret byłego rosyjskiego oligarchy w oparciu o rozmowy z jego dawnymi współpracownikami, rodziną (matką i synem) i politykami, zarówno rosyjskimi, jak i zachodnimi (w tym m.in. z byłym szefem niemieckiej dyplomacji - Joschką Fischerem)."
"Chronobiologia. Jak działa nasz zegar biologiczny","Dokument","Jak nasz zegar biologiczny jest badany przez naukowców."
"Altman","Dokument","Indywidualista, artysta, buntownik, wynalazca, wędrowiec, hazardzista, pilot bombowca, szaleniec, mąż, ojciec, dziadek, dziennikarz, poeta, scenarzysta, reżyser i producent w jednym – Robert Altman miał wiele twarzy, a jego życie i kariera to pasmo wzlotów i upadków. Laureat honorowego Oscara® za całokształt twórczości, ojciec niezależnego amerykańskiego kina, odcisnął piętno nie tylko na rozwoju sztuki filmowej, lecz również na całej awangardzie Zachodu. Kanadyjski reżyser Ron Mann pokazuje nam, jak naprawdę wyglądało życie i praca jednego z najważniejszych i najbardziej wpływowych filmowców w historii kina. We współpracy z wdową po Altmanie – Kathryn i jego stałym producentem – Matthew Seigem, Mann dokonał fantastycznego wyboru materiałów archiwalnych (zdjęć rodzinnych, prywatnych nagrań wideo, nieznanych krótkometrażówek), a wszystko po to, aby pokazać drogę, jaką przebył Altman od pilota bombowca w trakcie II wojny światowej, poprzez filmowca w Kansas City, po karierę w Hollywood: najpierw jako współscenarzysta filmu „Bodyguard”, potem jako reżyser debiutu fabularnego „The Delinquents”, po którym Alfred Hitchcock zaproponował mu współpracę przy dwóch częściach reżyserowanego przez siebie serialu, po głośne filmy „M.A.S.H”., „Nashville”, „Gracz” i „Gosford Park”. W tej filmowej podróży to właśnie Altman jest przewodnikiem, który oprowadza nas po znanych i nieznanych ścieżkach prywatnego życia i kariery."
"Wyznania z Dogville","Dokument","Opowieść o tym jak powstawał film Larsa von Triera ""Dogville"". W filmie: materiały z planu zdjęciowego, wywiady, fragmenty filmu."
"Everest - Poza krańcem świata","Dokument","Everest - Poza krańcem świata to niepowtarzalny dokument o pierwszym wejściu na Mount Everest, łączący archiwalne materiały z legendarnej wyprawy, jej fabularyzowaną rekonstrukcję oraz rewelacyjne ujęcia samego szczytu w technologii 3D. To opowieść o jednej z najbardziej heroicznych wypraw w dziejach i historycznym zwycięstwie sir Edmunda Hillary'ego i szerpy Tenzinga Norgaya nad najwyższą górą na Ziemi."
"Man Walking Around the Corner","Dokument","Film trwa zaledwie kilka sekund, na które składa się 16 klatek. Obraz przedstawia przemieszczającego się mężczyznę."
"Przy Planty 7/9","Dokument","4 lipca 1946 roku, rok po drugiej wojnie światowej, milicja, żołnierze i zwykli Kielczanie zabijają ocalałych z Holocaustu Żydów, mieszkających w komitecie żydowskim w centrum miasta. Ranią około 80 osób w całych Kielcach. Pogrom kielecki staje się symbolem polskiego powojennego antysemityzmu w świecie żydowskim. W Polsce jest tematem zakazanym przez władze ludowe. Z upadkiem komunizmu, Bogdan Białek, polski katolik, z wykształcenia psycholog, otwiera puszkę Pandory: zaczyna publicznie mówić o tym, co wydarzyło się w 1946 roku. Przebija się przez teorie spiskowe dotyczące pogromu, wyparcie pogromu ze świadomości kielczan i utrwalane przez lata wzajemne stereotypy Polaków i Żydów. Zbliżenie między kielczanami a Żydami zaczyna się rodzić, lecz ma też swoją cenę. Reżyserzy filmu – polski katolik i amerykański Żyd – przez blisko dziesięć lat realizacji filmu uczyli się wspólnego spojrzenia na historię pogromu. W 70. rocznicę tragedii przedstawiają widzom historię o tym, jak wiele może się zmienić między ludźmi, gdy nawet najtrudniejsza prawda przekazywana jest z miłością."
"Falling Cat","Dokument","Kot spada z wysokości i ląduje na cztery łapy."
"Ruchomy zamek Hauru","Fantasy","Sophie ma 18 lat i całe dnie spędza w sklepie z kapeluszami, który wcześniej należał do jej zmarłego ojca. W trakcie jednej z nieczęstych wizyt w mieście, poznaje czarodzieja o imieniu Hauru. Hauru jest niezwykle przystojny, ale także dość skryty. Zazdrosna o ich zażyłość czarodziejka, rzuca czar na Sophie, przez który dziewczyna zmienia się w 90-letnią staruszkę. Załamana Sophie ucieka od ludzi i błąkając się przypadkiem trafia do Ruchomego Zamku Hauru..."
"Dzielny mały toster ratuje przyjaciół","Fantasy","Mały Rob już dorósł. Wyjechał ze swojego rodzinnego domu na studia weterynaryjne. Oczywiście, wziął ze sobą swoje ulubione rzeczy, tworzące wesołą kompanię mówiących sprzętów gospodarstwa domowego. Toster, Radio, Lampa, Odkurzacz i Narzuta szybko zaprzyjaźnili się ze starym, zawirusowanym komputerem Witgensteinem i jego śmieszną Myszką. Bardzo polubili również zwierzęta Roba – szczurzycą Retso, makakiem Sebastianem i kocicą Macy. Niestety, na skutek zwarcia doszło do awarii wysłużonego komputera, w skutek czego praca magisterska Roba została skasowana. Toster i jego dzielna drużyna ruszają na ratunek. W tym samym czasie jego nowi przyjaciele – zwierzęta, zostają porwani. Grozi im trafienie do laboratorium przeprowadzającego eksperymenty na zwierzętach. Toster wraz z towarzyszami muszą wyruszyć im na pomoc."
"Łowca. Ostatnie starcie","Fantasy","Janik jest zapalonym graczem gier komputerowych. Jego ojciec jest biznesmenem i nie ma czasu zbyt wiele czasu dla syna. Pewnego dnia w ich życiu pojawiają się Thorn i Gaeth, dwa czarne charaktery, które określają siebie jako przedstawicieli zła."
"Mała czarownica","Fantasy","Mała czarownica marzy o tym żeby zatańczyć z innymi czarownicami podczas corocznego Sabatu na Łysej Górze. Lecz ma zaledwie 127 lat i jest na to o wiele za młoda. Podczas próby dostania się na Sabat zostaje przyłapana i za karę musi nauczyć się wszystkich zaklęć z Wielkiej Księgi Czarów. To będzie trudne bo mała czarownica wcale nie jest chętna do nauki. Postanawia więc przy pomocy swego mówiącego kruka Abraxasa znaleźć inny sposób by pokazać, że jest dobrą czarownicą. Jednak aby tego dokonać będzie musiała dodatkowo przechytrzyć złą czarownicę Rumpumpel. A na to wszystko ma tylko jeden rok."
"Kruk IV","Fantasy","Jimmy Cuervo i jego dziewczyna Lilly zostają zabici, według prastarego rytuału, dającego mordercy piekielne moce. Pozbawiony serca chłopak, powraca do życia kilka godzin później, by dzięki mocy kruka zapobiec dokończeniu obrzędu i dokonać krwawej zemsty na mordercach."
"Herkules","Fantasy","Serial przedstawiający przygody jednego z najznamienitszych herosów antycznego świata. Dysponujący nadludzkimi mocami Herkules, przemierza ziemię, pomagając napotkanym ludziom, zabijając potwory i demony, a przede wszystkim walcząc z zawistną Herą i jej wyznawcami. W zmaganiach pomaga mu wierny towarzysz Jolaos, tchórzliwy Salmoneusa i księżniczka Xena."
"The Amazing Spider-Man","Fantasy","Peter Parker zostaje ugryziony przez radioaktywnego pająka. Daje mu to niezwykłe moce, które wykorzystuje pomagając ludziom. Ale wrogowie zarówno ci zwykli jak i dysponującymi różnymi niezwykłymi mocami, pojawiają się ciągle, a walka z nimi nie ma końca."
"Kronika wojny na Lodoss","Fantasy","Po straszliwej wojnie i wiekach spokoju, na kontynencie zwanym Lodoss, siły zła próbują podbić sąsiednie królestwa. W konflikt zostaje wplatana grupa śmiałków, którzy będą musieli powstrzymać hordy potworów, potężną wiedźmę, a nawet smoki i zmartwychwstanie straszliwej bogini Kardis."
"Bliskie spotkania z wesołym diabłem","Fantasy","Film fantastyczno-przygodowy dla dzieci. Wesoły diabełek Piszczałka staje się przyczyną wielu nieporozumień. Kosmaty stwór skutecznie straszy wiele osób, choć nigdy nikomu nie robi krzywdy. Jego psoty wprowadzają wiele zamieszania, a ofiarą padają podkradane smakołyki… Piszczałka pomaga w niebezpieczeństwie kalekiemu Bi… Ojciec chłopca zarządza obławę na diabełka.Czy uda im się pojmać psotnego stworka?"
"Taran i magiczny kocioł","Fantasy","Ekranizacja powieści Lloyda Alexandra ""The Book of Three"" i ""The Black Cauldron"". Para młodych bohaterów próbuje przeszkodzić złemu królowi - czarownikowi w zawładnięciu czarodziejskim kotłem dającym ogromną potęgę. Podczas wędrówki po magicznym lesie napotykają jasnowidzącą świnię, złego karła i tajemniczą, kosmatą kulę..."
"Darwin i wrogowie ewolucji","Dokument","Dosłowna, kreacjonistyczna interpretacja biblijnej Księgi Rodzaju to najszybciej rosnący trend w amerykańskich religiach chrześcijańskich. Aż 46% Amerykanów wierzy, że stworzenie świata wyglądało dokładnie tak, jak opisano to w Biblii. Kim są kreacjoniści odrzucający stworzoną w połowie dziewiętnastego wieku teorię Darwina? Jakimi argumentami się posługują? Jak tłumaczą zjawiska rządzące światem?"
